"POLITICAL_UNIT","NAME","WGMS_ID","PSFG_ID","WGI_ID","GLIMS_ID","RGI_ID","REMARKS"
"AF","UNNAMED 21153",21153,,,,"RGI60-13.17561",
"AF","UNNAMED 21154",21154,,,,"RGI60-13.17563",
"AF","UNNAMED 21155",21155,,,,"RGI60-13.17564",
"AF","UNNAMED 21156",21156,,,,"RGI60-13.17581",
"AF","UNNAMED 21157",21157,,,,"RGI60-13.17582",
"AF","UNNAMED 21158",21158,,,,"RGI60-13.17583",
"AF","UNNAMED 21159",21159,,,,"RGI60-13.17584",
"AF","UNNAMED 21289",21289,,,,"RGI60-13.20089",
"AF","UNNAMED 21304",21304,,,,"RGI60-13.20407",
"AF","UNNAMED 21305",21305,,,,"RGI60-13.20652",
"AF","UNNAMED 21306",21306,,,,"RGI60-13.20654",
"AF","UNNAMED 21307",21307,,,,"RGI60-13.20661",
"AF","UNNAMED 21308",21308,,,,"RGI60-13.20663",
"AF","UNNAMED 21309",21309,,,,"RGI60-13.20670",
"AF","UNNAMED 21310",21310,,,,"RGI60-13.20671",
"AF","UNNAMED 21311",21311,,,,"RGI60-13.20675",
"AF","UNNAMED 21312",21312,,,,"RGI60-13.20678",
"AF","UNNAMED 21313",21313,,,,"RGI60-13.20715",
"AF","UNNAMED 21314",21314,,,,"RGI60-13.20739",
"AF","UNNAMED 21315",21315,,,,"RGI60-13.20742",
"AF","UNNAMED 21316",21316,,,,"RGI60-13.20753",
"AF","UNNAMED 21317",21317,,,,"RGI60-13.20756",
"AF","UNNAMED 21318",21318,,,,"RGI60-13.20760",
"AF","UNNAMED 21319",21319,,,,"RGI60-13.20769",
"AF","UNNAMED 21320",21320,,,,"RGI60-13.20771",
"AF","UNNAMED 21321",21321,,,,"RGI60-13.20782",
"AF","UNNAMED 21322",21322,,,,"RGI60-13.20793",
"AF","UNNAMED 21323",21323,,,,"RGI60-13.20794",
"AF","UNNAMED 21324",21324,,,,"RGI60-13.20796",
"AF","UNNAMED 21325",21325,,,,"RGI60-13.20805",
"AF","UNNAMED 21326",21326,,,,"RGI60-13.20813",
"AF","UNNAMED 21327",21327,,,,"RGI60-13.20922",
"AF","UNNAMED 21328",21328,,,,"RGI60-13.20925",
"AF","UNNAMED 21329",21329,,,,"RGI60-13.21023",
"AF","UNNAMED 21330",21330,,,,"RGI60-13.21033",
"AF","UNNAMED 21331",21331,,,,"RGI60-13.21036",
"AF","UNNAMED 21332",21332,,,,"RGI60-13.21053",
"AF","UNNAMED 21333",21333,,,,"RGI60-13.21060",
"AF","UNNAMED 21334",21334,,,,"RGI60-13.21063",
"AF","UNNAMED 21335",21335,,,,"RGI60-13.21064",
"AF","UNNAMED 21336",21336,,,,"RGI60-13.21069",
"AF","UNNAMED 21337",21337,,,,"RGI60-13.21073",
